Order,Length_1,Length_2,Length_3,Length_4,Length_5,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5,Class
131,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),negative
135,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),negative
137,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
139,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),negative
152,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),positive
153,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),positive
162,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),positive
163,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),positive
173,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-b <= 0.5) & (top-left-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative
178,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-b > 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative
180,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative
181,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),positive
183,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative
184,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),positive
185,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),positive
186,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),positive
187,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),positive
190,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
194,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
196,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),negative
199,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),negative
203,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
212,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
213,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),negative
214,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
216,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
218,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
224,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5),negative
226,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5),negative
230,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),negative
232,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
234,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x > 0.5),negative
236,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5),negative
237,4,3,4,3,3,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
239,4,4,4,4,4,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x > 0.5),negative
240,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative
250,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),positive
252,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),positive
253,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),negative
254,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-o <= 0.5),positive
255,4,4,4,4,4,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5),negative
