Order,Length_1,Length_2,Length_3,Length_4,Rule_1,Rule_2,Rule_3,Rule_4,Decision_Class_1,Decision_Class_2,Decision_Class_3,Decision_Class_4
479,10,9,8,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-o > 0.5),,positive,positive,positive,
482,7,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b > 0.5) & (middle-right-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,,positive,,,
483,10,8,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-right-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-o > 0.5),,,positive,positive,,
509,6,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5),,,,positive,,,
511,13,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-b > 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x > 0.5),,,,positive,,,
512,9,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (top-middle-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-b <= 0.5),,,,positive,,,
529,11,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x > 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-b > 0.5),,,,positive,,,
593,8,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b > 0.5) & (middle-right-square-o > 0.5) & (top-right-square-x > 0.5) & (middle-middle-square-b <= 0.5),,,,positive,,,
598,8,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o > 0.5),,,,positive,,,
600,10,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-b > 0.5) & (top-left-square-b > 0.5),,,,positive,,,
601,8,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-right-square-x > 0.5),,,,positive,,,
612,10,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-x > 0.5),,,,positive,,,
620,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-b > 0.5) & (bottom-left-square-o <= 0.5),,,,positive,,,
628,8,9,10,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5) & (top-middle-square-b <= 0.5) & (bottom-left-square-b > 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (middle-left-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-left-square-b > 0.5) & (bottom-middle-square-b <= 0.5),,negative,negative,negative,
630,4,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b > 0.5),,,,negative,,,
631,7,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5),,,,negative,,,
637,7,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5),,,,negative,,,
643,9,,,,(top-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-x > 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x > 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-b > 0.5),,,,negative,,,
645,7,7,,,(top-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-x > 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-x <= 0.5),,,negative,negative,,
646,7,,,,(top-right-square-o > 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-x > 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x <= 0.5),,,,negative,,,
653,11,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5) & (top-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (top-left-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-o <= 0.5) & (middle-right-square-x > 0.5) & (bottom-left-square-x <= 0.5),,,,negative,,,
657,12,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-b > 0.5),,,,negative,,,
661,12,9,8,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x > 0.5) & (top-left-square-b <= 0.5) & (top-right-square-b > 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-right-square-b > 0.5) & (middle-right-square-b <= 0.5),,negative,negative,negative,
668,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-x <= 0.5),,,,negative,,,
677,10,5,6,9,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-x > 0.5),negative,negative,negative,negative
680,9,9,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (top-right-square-b <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x > 0.5) & (bottom-middle-square-o > 0.5),,,negative,negative,,
689,9,8,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5) & (middle-left-square-b > 0.5),,,negative,negative,,
695,6,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (bottom-middle-square-o <= 0.5),,,,negative,,,
708,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-x <= 0.5) & (middle-middle-square-x <= 0.5),,,,negative,,,
709,10,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-b <= 0.5) & (middle-middle-square-x > 0.5),,,,negative,,,
711,11,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5),,,,negative,,,
712,7,6,6,5,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o > 0.5) & (bottom-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b > 0.5),negative,negative,negative,negative
713,9,5,5,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5),,negative,negative,negative,
716,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-x <= 0.5),,,,negative,,,
723,6,14,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (top-middle-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-x > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b <= 0.5),,,negative,negative,,
730,8,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-b > 0.5) & (bottom-left-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (middle-middle-square-x > 0.5),,,,negative,,,
736,9,10,11,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b <= 0.5) & (top-right-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-b <= 0.5) & (middle-middle-square-x <= 0.5) & (top-right-square-x <= 0.5),,negative,negative,negative,
740,9,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-right-square-b <= 0.5),,,,negative,,,
741,10,11,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-b <= 0.5) & (middle-middle-square-b <= 0.5),,,negative,negative,,
743,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-x > 0.5) & (bottom-left-square-b > 0.5),,,,negative,,,
746,11,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5),,,,negative,,,
747,10,5,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b > 0.5),,,negative,negative,,
750,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x <= 0.5),,,,negative,,,
755,11,10,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5) & (middle-right-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-middle-square-b > 0.5) & (middle-left-square-o > 0.5),,,negative,negative,,
762,7,5,7,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5),,negative,negative,negative,
766,6,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (bottom-middle-square-x > 0.5),,,,negative,,,
769,9,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-middle-square-b <= 0.5),,,,negative,,,
770,13,6,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b > 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5),,,negative,negative,,
779,7,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-b > 0.5),,,,negative,,,
781,12,6,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (top-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5) & (top-left-square-o > 0.5) & (middle-right-square-x <= 0.5),,,negative,negative,,
785,11,7,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-x > 0.5),,,negative,negative,,
786,11,8,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (top-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-x > 0.5) & (top-left-square-o > 0.5) & (middle-right-square-x > 0.5) & (top-right-square-o > 0.5) & (bottom-middle-square-x > 0.5),,,negative,negative,,
796,9,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o > 0.5),,,,negative,,,
798,9,9,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-x <= 0.5) & (bottom-middle-square-o <= 0.5),,,negative,negative,,
801,7,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b > 0.5) & (bottom-left-square-b <= 0.5),,,,negative,,,
802,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-b <= 0.5),,,,negative,,,
804,8,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (top-right-square-b <= 0.5) & (top-left-square-x <= 0.5),,,,negative,,,
807,10,8,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),,,negative,negative,,
