Order,Length_1,Length_2,Length_3,Length_4,Length_5,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5
68,4,4,7,4,13,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (top-right-square-b <= 0.5) & (bottom-left-square-b > 0.5) & (middle-left-square-x <= 0.5)
69,6,4,7,4,7,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5)
70,6,11,5,5,3,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5)
71,8,8,5,7,9,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5)
72,4,11,5,3,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5)
73,4,11,5,3,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5)
74,4,11,5,3,3,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5)
75,6,11,5,5,3,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5)
76,4,11,11,3,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b > 0.5) & (top-right-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5)
77,8,11,11,7,8,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b > 0.5) & (top-right-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-b > 0.5)
78,6,11,11,5,3,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b > 0.5) & (top-right-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5)
79,8,15,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-b <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-o > 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
80,7,5,10,5,8,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-right-square-o > 0.5) & (middle-left-square-x > 0.5)
81,8,5,9,5,7,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-x > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-left-square-x > 0.5) & (top-left-square-x > 0.5)
82,9,5,11,5,8,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5)
83,8,5,8,5,8,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5)
84,7,5,10,5,8,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-x > 0.5) & (bottom-right-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (middle-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x > 0.5)
85,8,10,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
86,7,10,12,10,8,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (middle-middle-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
87,9,7,8,10,8,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x <= 0.5)
88,7,10,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5) & (bottom-left-square-x <= 0.5) & (middle-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
89,8,9,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
90,11,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (bottom-right-square-b <= 0.5) & (middle-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
91,11,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
